INT: int, At line 2, column 1
MAIN: main, At line 2, column 5
LEFT_PAREN: (, At line 2, column 9
RIGHT_PAREN: ), At line 2, column 10
LEFT_BRACE: {, At line 2, column 12
INT: int, At line 3, column 5
IDENTIFIER: x, At line 3, column 9
ASSIGN: =, At line 3, column 11
NUMBER: 10, At line 3, column 13
SEMICOLON: ;, At line 3, column 15
FLOAT: float, At line 4, column 5
IDENTIFIER: y, At line 4, column 11
ASSIGN: =, At line 4, column 13
NUMBER: 3.14, At line 4, column 15
SEMICOLON: ;, At line 4, column 19
IF: if, At line 6, column 5
LEFT_PAREN: (, At line 6, column 8
IDENTIFIER: x, At line 6, column 9
NOT_EQUAL: !=, At line 6, column 11
NUMBER: 0, At line 6, column 14
RIGHT_PAREN: ), At line 6, column 15
IDENTIFIER: y, At line 6, column 17
ASSIGN: =, At line 6, column 19
IDENTIFIER: y, At line 6, column 21
DIVIDE: /, At line 6, column 23
IDENTIFIER: x, At line 6, column 25
SEMICOLON: ;, At line 6, column 26
ELSE: else, At line 7, column 5
IDENTIFIER: y, At line 7, column 10
ASSIGN: =, At line 7, column 12
IDENTIFIER: y, At line 7, column 14
MULTIPLY: *, At line 7, column 16
NUMBER: 2, At line 7, column 18
SEMICOLON: ;, At line 7, column 19
RETURN: return, At line 9, column 5
LEFT_PAREN: (, At line 9, column 12
INT: int, At line 9, column 13
RIGHT_PAREN: ), At line 9, column 16
IDENTIFIER: y, At line 9, column 18
SEMICOLON: ;, At line 9, column 19
RIGHT_BRACE: }, At line 10, column 1
EOF: , At line 11, column 1
